# GENERATED by assetsBuild/badgeBuild.pl — do not edit.
# The encode cache, and the audit trail for the size comparison:
# a badge is re-encoded only when its source sha256 changes here.
# 'chosen' is the format that won on size; when it is not 'webp',
# the WebP came out no smaller and the original is served instead.
#
# file	sha256	chosen	srcBytes	webpBytes	width	height
17776.png	d4d85d46290c0a6054ac40765b940867274accf7d81802a78974cf235446aa82	webp	1945	1114	88	31
88x31.png	fd8ac85317ee6ac95518eb57223a5038bc7a18cdb6551d67e0b0fafcf46f5ea5	webp	1458	602	88	31
Arch.png	c6bd69fcb70cac9a1621352ce35b10d2602f964d7694ee5ca27a5106825b6ddb	webp	535	258	88	31
debian-powered.gif	a581642c2cd05285d453411eb3b58edda7b33488a768c238e6dd6e294d0d341d	webp	2596	1984	88	31
monero.png	51076f6148c01db3e6e081629cf278b5d384816376e1fa4ccf199fc75bfc3e62	webp	2818	1142	88	31
mspaintadventures.png	48705d6f7e0b144161919a72564e51d62b7c8b09b65981b257387cbd24530386	webp	1483	562	88	31
nginx.png	f52836ab6c5ecadf5d1b5e67ff06d5af2c75077b1de8769596205aba9ce4f5b0	png	636	640	88	31
trans-flag.gif	c430f1e5e4bc80e3dfccf9c6323b587a270779a807da0672f009587ac11328c2	webp	2852	1592	88	31
xkcd.png	bf74d48c98dc3e773566a9ddcb564a3a3fac6a0f3c4a4175c01deea4b9554edb	webp	908	846	88	31
zero-javascript.png	ec7cde094da1c1330030452dfbc08bd8c4f224dce2c31d0397e0388d81bbd272	webp	412	408	88	31
